code,country_name,iso3
4008,Andorra,AND
2005,Anguilla,AIA
2010,Antigua and Barbuda,ATG
2020,Argentina,ARG
4007,Armenia,ARM
2025,Aruba,ABW
5020,Australia,AUS
4010,Austria,AUT
4012,Azerbaijan,AZE
2030,Bahamas,BHS
3020,Bahrain,BHR
2040,Barbados,BRB
4018,Belarus,BLR
4020,Belgium,BEL
2045,Belize,BLZ
2050,Bermuda,BMU
2060,Bolivia,BOL
4025,Bosnia and Herzegovina,BIH
2070,Brazil,BRA
2085,British Virgin Islands,VGB
3030,Brunei Darussalam,BRN
4030,Bulgaria,BGR
2090,Canada,CAN
1060,Cape Verde,CPV
2110,Cayman Islands,CYM
2120,Chile,CHL
2130,Colombia,COL
2140,Costa Rica,CRI
4038,Croatia,HRV
2150,Cuba,CUB
3080,Cyprus,CYP
4045,Czech Republic,CZE
4050,Denmark,DNK
2160,Dominica,DMA
2170,Dominican Republic,DOM
2180,Ecuador,ECU
1125,Egypt,EGY
2190,El Salvador,SLV
4055,Estonia,EST
5070,Fiji,FJI
4070,Finland,FIN
4080,France,FRA
2210,French Guiana,GUF
4084,Georgia,GEO
4085,Germany,DEU
4140,Greece,GRC
2230,Grenada,GRD
2240,Guadeloupe,GLP
2250,Guatemala,GTM
2260,Guyana,GUY
2270,Haiti,HTI
2280,Honduras,HND
3090,Hong Kong SAR,HKG
4150,Hungary,HUN
4160,Iceland,ISL
3130,Iran (Islamic Republic of),IRN
3140,Iraq,IRQ
4170,Ireland,IRL
3150,Israel,ISR
4180,Italy,ITA
2290,Jamaica,JAM
3160,Japan,JPN
3170,Jordan,JOR
4182,Kazakhstan,KAZ
5105,Kiribati,KIR
3190,Kuwait,KWT
4184,Kyrgyzstan,KGZ
4186,Latvia,LVA
3210,Lebanon,LBN
1250,Libyan Arab Jamahiriya,LBY
4188,Lithuania,LTU
4190,Luxembourg,LUX
3236,Malaysia,MYS
3255,Maldives,MDV
4200,Malta,MLT
2300,Martinique,MTQ
1300,Mauritius,MUS
1303,Mayotte,MYT
2310,Mexico,MEX
3260,Mongolia,MNG
4207,Montenegro,MNE
2320,Montserrat,MSR
1310,Morocco,MAR
4210,Netherlands,NLD
2330,Netherlands Antilles,ANT
5150,New Zealand,NZL
2340,Nicaragua,NIC
4195,North Macedonia,MKD
4220,Norway,NOR
3283,Occupied Palestinian Territory,PSE
3285,Oman,OMN
2350,Panama,PAN
2360,Paraguay,PRY
2370,Peru,PER
3300,Philippines,PHL
4230,Poland,POL
4240,Portugal,PRT
2380,Puerto Rico,PRI
3320,Qatar,QAT
3325,Republic of Korea,KOR
4260,Republic of Moldova,MDA
1360,Reunion,REU
1365,Rodrigues,MUS
4270,Romania,ROU
4272,Russian Federation,RUS
2385,Saint Kitts and Nevis,KNA
2400,Saint Lucia,LCA
2410,Saint Pierre and Miquelon,SPM
2420,Saint Vincent and Grenadines,VCT
4275,San Marino,SMR
3340,Saudi Arabia,SAU
4273,Serbia,SRB
4350,Serbia and Montenegro,SCG
1400,Seychelles,SYC
3350,Singapore,SGP
4274,Slovakia,SVK
4276,Slovenia,SVN
5198,Solomon Islands,SLB
1430,South Africa,ZAF
4280,Spain,ESP
3365,Sri Lanka,LKA
2430,Suriname,SUR
4290,Sweden,SWE
4300,Switzerland,CHE
3370,Syrian Arab Republic,SYR
4301,Tajikistan,TJK
3380,Thailand,THA
2440,Trinidad and Tobago,TTO
1520,Tunisia,TUN
3400,Turkey,TUR
4302,Turkmenistan,TKM
2445,Turks and Caicos Islands,TCA
4303,Ukraine,UKR
3405,United Arab Emirates,ARE
4308,United Kingdom,GBR
2450,United States of America,USA
2460,Uruguay,URY
4335,Uzbekistan,UZB
2470,Venezuela,VEN
2455,Virgin Islands (USA),VIR